IPO 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,№,Компания,Тикер,Дата IPO,"Кол-во акций 
(млн)",Цена IPO,"Цена закрытия
 1-го дня","Текущая
цена","Доходность
(по итогам завершения
 lock up-периода)",Аллокация,"Количество прошедших
 дней с 1-го дня торгов",,"Текущая
цена","Результат на
текущую дату"
,1,Zentalis Pharmaceuticals,ZNTL,03/04/2020,9.2,"$18,00","$23,20","$47,97","166,50%","97,00%",93,,"$56,41","213,39%"
,2,Keros Therapeutics,KROS,08/04/2020,6,"$16,00","$20,08","$31,00","107,44%","92,00%",93,,"$75,23","370,19%"
,3,ORIC Pharmaceuticals Inc,ORIC,24/04/2020,7.5,"$16,00","$25,77","$22,10","38,13%","15,00%",93,,"$34,61","116,31%"
,4,Lyra Therapeutics,LYRA,01/05/2020,3.5,"$16,00","$18,56","$13,80","-13,75%","91,00%",93,,"$9,28","-42,00%"
,5,GAN Limited,GAN,05/05/2020,4.1,"$8,50","$13,56","$20,30","138,82%","27,00%",93,,"$15,91","87,18%"
,6,Ayala Pharmaceuticals,AYLA,08/05/2020,3.3,"$15,00","$15,03","$12,84","-14,00%","94,00%",93,,"$10,81","-27,93%"
,7,ADC Therapeutics America SA,ADCT,15/05/2020,10,"$19,00","$29,65","$38,62","103,26%","64,50%",93,,"$34,34","80,74%"
,8,SelectQuote,SLQT,21/05/2020,25,"$20,00","$27,00","$20,10",-,-------,93,,"$22,77","13,85%"
,9,Inari Medical,NARI,22/05/2020,7.3,"$19,00","$42,51","$70,49","289,47%","17,00%",93,,"$67,09","253,11%"
,10,Warner Music Group,WMG,03/06/2020,77,"$25,00","$30,12","$28,60","14,50%","46,00%",93,,"$32,75","31,00%"
,11,"Pliant Therapeutics, Inc.",PLRX,03/06/2020,6,"$16,00","$34,00","$24,31","51,94%","34,00%",93,,"$26,24","64,00%"
,12,ZoomInfo Technologies Inc.,ZI,04/06/2020,44.5,"$21,00","$34,00","$33,22","58,19%","32,00%",93,,"$40,40","92,38%"
,13,Legend Biotech Corporation,LEGN,05/06/2020,18.4,"$23,00","$37,00","$28,85","25,45%","22,50%",93,,"$28,28","22,96%"
,14,Shift4 Payments,FOUR,05/06/2020,15,"$23,00","$33,54","$50,13","117,96%","44,00%",93,,"$59,53","158,83%"
